IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,11697,2026-08-11 04:08:10
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,11721,2026-08-11 04:08:10
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,11775,2026-08-11 04:08:10
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,11778,2026-08-11 04:08:10
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,11823,2026-08-11 04:08:10
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936,11865,2026-08-11 04:08:10
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72441,11867,2026-08-11 04:08:10
GEG,Spokane International Airport,Spokane,WA,USA,47.61986,-117.53384,11884,2026-08-11 04:08:10
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.94926,-97.17611,11898,2026-08-11 04:08:10
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,11905,2026-08-11 04:08:10
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.12241,-108.52673,11921,2026-08-11 04:08:10
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,11953,2026-08-11 04:08:10
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,11973,2026-08-11 04:08:10
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959,11977,2026-08-11 04:08:10
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,11980,2026-08-11 04:08:10
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,11982,2026-08-11 04:08:10
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,11986,2026-08-11 04:08:10
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,11995,2026-08-11 04:08:10
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,11996,2026-08-11 04:08:10
GST,Gustavus Airport,Gustavus,AK,USA,58.42438,-135.70738,11997,2026-08-11 04:08:10
